question_id,survey_name,column_name,question_text,import_id,option_text,option_count,observed_min,observed_max,scale_min,scale_max,response_range,n_responses,question_document,text_char_len,text_word_len,has_question_mark,has_percent_symbol,has_money_symbol,is_binary,is_wide_scale,is_continuousish,topic_risk,topic_future,topic_social,topic_money,topic_identity,topic_habit,topic_emotion,topic_politics,topic_environment,topic_probabilistic
survey_1::Q11,survey_1,Q11,Which part of the United States do you currently live in?,QID11,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) | South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) | South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) | South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",4,1.0,4.0,1.0,4.0,3.0,233,"Which part of the United States do you currently live in? South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) | South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) | South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) | South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL) Q11",367,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survey_1::Q12,survey_1,Q12,What is the sex that you were assigned at birth?,QID12,Male | Male,2,1.0,2.0,1.0,2.0,1.0,233,What is the sex that you were assigned at birth? Male | Male Q12,64,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
survey_1::Q13,survey_1,Q13,How old are you?,QID13,50-64 | 50-64 | 50-64 | 50-64,4,1.0,4.0,-64.0,50.0,114.0,233,How old are you? 50-64 | 50-64 | 50-64 | 50-64 Q13,50,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
survey_1::Q14,survey_1,Q14,What is the highest level of schooling or degree that you have completed?,QID14,"College graduate/some postgrad | College graduate/some postgrad | Some college, no degree | College graduate/some postgrad | College graduate/some postgrad | High school graduate",6,1.0,6.0,1.0,6.0,5.0,233,"What is the highest level of schooling or degree that you have completed? College graduate/some postgrad | College graduate/some postgrad | Some college, no degree | College graduate/some postgrad | College graduate/some postgrad | High school graduate Q14",256,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
survey_1::Q15,survey_1,Q15,What is your race or origin?,QID15,White | White | White | White | White,5,1.0,5.0,1.0,5.0,4.0,233,What is your race or origin? White | White | White | White | White Q15,70,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survey_1::Q16,survey_1,Q16,Are you a citizen of the United States?,QID16,Yes,1,1.0,1.0,1.0,1.0,,233,Are you a citizen of the United States? Yes Q16,47,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survey_1::Q17,survey_1,Q17,Which of these best describes you?,QID17,Married | Married | Never been married | Divorced | Married | Married,6,1.0,6.0,1.0,6.0,5.0,233,Which of these best describes you? Married | Married | Never been married | Divorced | Married | Married Q17,108,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survey_1::Q18,survey_1,Q18,"What is your present religion, if any?",QID18,Protestant | Roman Catholic | Protestant | Agnostic | Atheist | Atheist | Agnostic | Atheist | Protestant | Protestant | Protestant | Protestant,12,1.0,12.0,1.0,12.0,11.0,233,"What is your present religion, if any? Protestant | Roman Catholic | Protestant | Agnostic | Atheist | Atheist | Agnostic | Atheist | Protestant | Protestant | Protestant | Protestant Q18",187,32,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
survey_1::Q19,survey_1,Q19,"Aside from weddings and funerals, how often do you attend religious services?",QID19,Never | Never | Never | Never | Never | Never,6,1.0,6.0,1.0,6.0,5.0,233,"Aside from weddings and funerals, how often do you attend religious services? Never | Never | Never | Never | Never | Never Q19",127,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survey_1::Q20,survey_1,Q20,"In politics today, do you consider yourself a",QID20,Republican | Democrat | Democrat | Republican,4,1.0,4.0,1.0,4.0,3.0,233,"In politics today, do you consider yourself a Republican | Democrat | Democrat | Republican Q20",95,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
survey_1::Q21,survey_1,Q21,"Last year, what was your total family income from all sources, before taxes?",QID21,"$100,000 or more | $30,000-$50,000 | $100,000 or more | Less than $30,000 | $100,000 or more",5,1.0,5.0,0.0,100.0,100.0,233,"Last year, what was your total family income from all sources, before taxes? $100,000 or more | $30,000-$50,000 | $100,000 or more | Less than $30,000 | $100,000 or more Q21",173,31,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
survey_1::Q22,survey_1,Q22,"In general, would you describe your political views as",QID22,Moderate | Conservative | Liberal | Moderate | Liberal,5,1.0,5.0,1.0,5.0,4.0,233,"In general, would you describe your political views as Moderate | Conservative | Liberal | Moderate | Liberal Q22",113,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
survey_1::Q23,survey_1,Q23,"Including yourself, how many people currently live in your household?",QID23,2 | 2 | 2 | 1 | 4,5,1.0,5.0,1.0,5.0,4.0,233,"Including yourself, how many people currently live in your household? 2 | 2 | 2 | 1 | 4 Q23",91,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Q24,survey_1,Q24,What is your current employment status?,QID24,Full-time employment | Full-time employment | Retired | Full-time employment | Full-time employment | Full-time employment | Retired,7,1.0,7.0,1.0,7.0,6.0,233,What is your current employment status? Full-time employment | Full-time employment | Retired | Full-time employment | Full-time employment | Full-time employment | Retired Q24,176,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
survey_1::Empathy_1,survey_1,Empathy_1,Please indicate your agreement with each of the following statements about yourself. - My friends’ emotions don’t affect me much.,QID232_1,Disagree a little | Disagree a little | Disagree a little | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - My friends’ emotions don’t affect me much. Disagree a little | Disagree a little | Disagree a little | Disagree a little | Disagree a little Empathy_1,237,40,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
survey_1::Empathy_2,survey_1,Empathy_2,"Please indicate your agreement with each of the following statements about yourself. - After being with a friend who is sad about something, I usually feel sad.",QID232_2,Agree a little | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,"Please indicate your agreement with each of the following statements about yourself. - After being with a friend who is sad about something, I usually feel sad. Agree a little | Agree a little | Agree a little | Agree a little | Agree a little Empathy_2",253,47,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
survey_1::Empathy_3,survey_1,Empathy_3,Please indicate your agreement with each of the following statements about yourself. - I can understand my friend’s happiness when she/he does well at something.,QID232_3,Agree strongly | Agree strongly | Agree a little | Agree strongly | Agree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I can understand my friend’s happiness when she/he does well at something. Agree strongly | Agree strongly | Agree a little | Agree strongly | Agree strongly Empathy_3,254,41,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_4,survey_1,Empathy_4,Please indicate your agreement with each of the following statements about yourself. - I get frightened when I watch characters in a good scary movie.,QID232_4,Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Disagree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I get frightened when I watch characters in a good scary movie. Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Disagree strongly Empathy_4,258,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
survey_1::Empathy_5,survey_1,Empathy_5,Please indicate your agreement with each of the following statements about yourself. - I get caught up in other people’s feelings easily.,QID232_5,Agree a little | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I get caught up in other people’s feelings easily. Agree a little | Agree a little | Agree a little | Agree a little | Agree a little Empathy_5,230,42,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_6,survey_1,Empathy_6,Please indicate your agreement with each of the following statements about yourself. - I find it hard to know when my friends are frightened.,QID232_6,Disagree a little | Disagree strongly | Disagree a little | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I find it hard to know when my friends are frightened. Disagree a little | Disagree strongly | Disagree a little | Disagree a little | Disagree a little Empathy_6,249,43,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_7,survey_1,Empathy_7,Please indicate your agreement with each of the following statements about yourself. - I don’t become sad when I see other people crying.,QID232_7,Disagree strongly | Disagree a little | Disagree a little | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I don’t become sad when I see other people crying. Disagree strongly | Disagree a little | Disagree a little | Disagree a little | Disagree a little Empathy_7,245,42,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
survey_1::Empathy_8,survey_1,Empathy_8,Please indicate your agreement with each of the following statements about yourself. - Other people’s feelings don’t bother me at all.,QID232_8,Disagree strongly | Disagree strongly | Disagree a little | Disagree strongly | Disagree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - Other people’s feelings don’t bother me at all. Disagree strongly | Disagree strongly | Disagree a little | Disagree strongly | Disagree strongly Empathy_8,242,37,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_9,survey_1,Empathy_9,Please indicate your agreement with each of the following statements about yourself. - When someone is feeling down I can usually understand how they feel.,QID232_9,Agree strongly | Agree a little | Agree strongly | Agree strongly | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - When someone is feeling down I can usually understand how they feel. Agree strongly | Agree a little | Agree strongly | Agree strongly | Agree a little Empathy_9,248,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
